Asset ID,Street,City,Post Code,Building Number,Building Name,Sub-Building,Region,Country,Latitude,Longitude,Building ID,Property Identifier,Year,Scenario,Flood Defences,Physical Risk Score,River Flood Score,River Flood Severity Value (maximum depth (m)),River Flood Severity Lower Bound,River Flood Severity Upper Bound,River Flood Reliability,Surface Flood Score,Surface Flood Severity Value (maximum depth (m)),Surface Flood Severity Lower Bound,Surface Flood Severity Upper Bound,Surface Flood Reliability,Coastal Flood Score,Coastal Flood Severity Value (maximum depth (m)),Coastal Flood Severity Lower Bound,Coastal Flood Severity Upper Bound,Coastal Flood Reliability,Wildfires Score,Wildfires Severity Value (No of fire weather days),Wildfires Severity Lower Bound,Wildfires Severity Upper Bound,Wildfires Likelihood,Wildfires Reliability,Wildfires Climate Reliability,Storms Score,Storms Severity Value (3s gust wind speed (km/h)),Storms Severity Lower Bound,Storms Severity Upper Bound,Storms Reliability,Storms Climate Reliability,Tropical Cyclones Score,Tropical Cyclones Severity Value (3s gust wind speed (km/h)),Tropical Cyclones Severity Lower Bound,Tropical Cyclones Severity Upper Bound,Tropical Cyclones Reliability,Tropical Cyclones Climate Reliability,Subsidence Score,"Subsidence Severity Value (indicator [0,2])",Subsidence Severity Lower Bound,Subsidence Severity Upper Bound,Subsidence Reliability,Subsidence Climate Reliability,Landslide Score,Landslide Likelihood,Landslide Reliability,Landslide Climate Reliability,Extreme Heat Days Score,Extreme Heat Days Severity Value (No of heatwave days),Extreme Heat Days Severity Lower Bound,Extreme Heat Days Severity Upper Bound,Extreme Heat Days Reliability,Extreme Heat Days Climate Reliability,Drought Score,Drought Severity Value (Magnitude),Drought Severity Lower Bound,Drought Severity Upper Bound,Drought Likelihood,Drought Reliability,Drought Climate Reliability,Age Category,Age Category Flag,Asset Use,Asset Type,Structure Category,Flood Elevation Structure,Building Replacement Cost,Gross Premise Area Flag,Gross Premise Area,Floor Count,Currency,Unit of Length,River Flood Loss,Surface Flood Loss,Coastal Flood Loss,Subsidence Loss,Landslide Loss,Wildfires Loss,Storms Loss,Tropical Cyclones Loss,Total Building Loss,Total Loss per Unit/Flat,Total Loss Percentage,Unit/Flat Volume,Basement
1,,,,,,,East Midlands (England),United Kingdom,52.7702909069,0.1894779759,23047437,100030889668,2025,ssp370,Undefended,A,A,0.0,0.0,0.0,,D,0.06,0.06,0.06,,E,0.47,0.44,0.5,,A,5.815511,0.0,19.090374,0.101657,0.75,0.9353354,E,157.5,151.199997,165.599991,0.83,0.83,,,,,,,B,1.071325,1.0,1.15,0.75,0.9361328,A,3e-06,0.93,0.9353354,B,7.458333,0.9,17.1,0.8968716,0.8968716,B,4.922235,1.369066,8.222183,0.132135,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,1119385.0,A,824.6,2.0,GBP,Metres,0.0,224.0,2822.0,1580.0,0.0,0.0,53.0,0.0,4678.0,936.0,0.0041792343,5.0,0.0
10,Main Rd,Boston,PE22 9AZ,,,,East Midlands (England),United Kingdom,53.0673153,0.1993399,,,2025,ssp370,Undefended,E,A,0.0,0.0,0.0,,D,0.4,0.38,0.42,,F,2.7,2.66,2.74,,B,2.382087,0.0,6.90608,0.170588,0.75,0.9353354,E,159.300003,153.0,166.5,0.83,0.83,,,,,,,B,1.000481,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,A,1.075,0.0,3.0,0.8968716,0.8968716,B,4.910131,2.252951,8.143004,0.138478,0.65,0.65,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,1974.0,133413.0,1351.0,0.0,823.0,60.0,0.0,137621.0,137621.0,0.1088780862,1.0,0.0
2,,,,,,,East Midlands (England),United Kingdom,52.8408284176,0.1697058665,23337180,200001147586,2025,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,1.26,1.22,1.31,,A,4.827832,0.0,15.455994,0.138198,0.75,0.9353354,E,157.5,151.199997,165.599991,0.83,0.83,,,,,,,A,0.970988,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,7.458333,0.9,17.1,0.8968716,0.8968716,B,4.922235,1.369066,8.222183,0.132135,0.65,0.65,post-1985,A,residential,SINGLE_RES,C_4,Not applied,297561.0,A,219.2,1.0,GBP,Metres,0.0,0.0,5665.0,281.0,0.0,0.0,146.0,0.0,6092.0,6092.0,0.0204725334,1.0,0.0
3,,,,,,,East Midlands (England),United Kingdom,52.8494594446,0.1414652949,917061,,2025,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,1.06,1.01,1.11,,A,4.737712,0.0,15.007531,0.090623,0.75,0.9353354,E,157.5,151.199997,165.599991,0.83,0.83,,,,,,,A,0.964034,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,7.35,1.0,18.0,0.8968716,0.8968716,B,4.922235,1.369066,8.222183,0.132135,0.65,0.65,post-1985,M,residential,SINGLE_RES,C_4,Not applied,31765.0,A,23.4,1.0,GBP,Metres,0.0,0.0,426.0,29.0,0.0,0.0,16.0,0.0,471.0,471.0,0.0148197141,1.0,0.0
4,,,,,,,East Midlands (England),United Kingdom,52.8548146185,0.1709734372,22418623,,2025,ssp370,Undefended,D,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,1.69,1.65,1.72,,B,4.61772,0.0,14.71072,0.187452,0.75,0.9353354,E,157.5,151.199997,165.599991,0.83,0.83,,,,,,,A,0.967982,0.0,1.0,0.75,0.9361328,A,0.0,0.93,0.9353354,B,7.458333,0.9,17.1,0.8968716,0.8968716,B,4.434797,1.190362,7.384102,0.133025,0.65,0.65,post-1985,M,residential,SINGLE_RES,C_4,Not applied,35838.0,A,26.4,1.0,GBP,Metres,0.0,0.0,3126.0,33.0,0.0,48.0,18.0,0.0,3225.0,3225.0,0.0899863621,1.0,0.0
5,Durhams Road,Spalding,PE12 9NJ,5.0,,,East Midlands (England),United Kingdom,52.8607484,0.1335514,,,2025,ssp370,Undefended,A,A,0.0,0.0,0.0,,D,0.03,0.0,0.08,,F,1.66,1.61,1.71,,B,4.585769,0.0,14.429449,0.163036,0.75,0.9353354,E,157.5,151.199997,165.599991,0.83,0.83,,,,,,,A,0.968889,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,7.35,1.0,18.0,0.8968716,0.8968716,B,4.434797,1.190362,7.384102,0.133025,0.65,0.65,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,181.0,22926.0,1185.0,0.0,596.0,60.0,0.0,24948.0,24948.0,0.0197371818,1.0,0.0
6,Marsh Rd,Holbeach Hurn,PE12 8JY,1.0,,,East Midlands (England),United Kingdom,52.8231572,0.0656962,4441069,100032161463,2025,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,C,0.0,0.0,0.0,,A,5.223349,0.0,16.395689,0.118228,0.75,0.9353354,E,154.800003,148.5,162.0,0.83,0.83,,,,,,,B,1.055259,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,7.35,1.0,18.0,0.8968716,0.8968716,B,4.74336,1.088232,8.391212,0.132575,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,317381.0,A,233.8,2.0,GBP,Metres,0.0,0.0,97.0,421.0,0.0,0.0,15.0,0.0,533.0,533.0,0.0016787054,1.0,0.0
7,,,,,,,East Midlands (England),United Kingdom,52.8088689,0.1259753,23062655,100030887449,2025,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,D,0.42,0.38,0.48,,B,5.338727,0.0,17.083136,0.163153,0.75,0.9353354,E,154.800003,148.5,162.0,0.83,0.83,,,,,,,B,1.060896,1.0,1.15,0.75,0.9361328,A,6e-06,0.93,0.9353354,B,7.35,1.0,18.0,0.8968716,0.8968716,B,4.922235,1.369066,8.222183,0.132135,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,268240.0,A,197.6,2.0,GBP,Metres,0.0,0.0,506.0,364.0,0.0,136.0,13.0,0.0,1018.0,1018.0,0.0037959522,1.0,0.0
8,Pinstock Lane,Spalding,PE12 0BT,,,,East Midlands (England),United Kingdom,52.7960426,0.0741809,22823054,100030891649,2025,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,D,0.04,0.0,0.1,,A,5.59828,0.0,17.763094,0.127764,0.75,0.9353354,E,154.800003,148.5,162.0,0.83,0.83,,,,,,,C,1.268722,1.15,1.3,0.75,0.9361328,A,3e-06,0.93,0.9353354,B,7.35,1.0,18.0,0.8968716,0.8968716,B,4.74336,1.088232,8.391212,0.132575,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,221542.0,A,163.2,2.0,GBP,Metres,0.0,0.0,170.0,621.0,0.0,0.0,11.0,0.0,802.0,802.0,0.0036204859,1.0,0.0
9,Witham Town,Boston,PE21 9JY,6.0,,,East Midlands (England),United Kingdom,52.9835697,-0.0310725,13519302,200004467536,2025,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,B,0.0,0.0,0.0,,A,3.222828,0.0,8.98021,0.096628,0.75,0.9353354,E,155.699997,149.399994,162.899994,0.83,0.83,,,,,,,B,1.038107,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,7.191667,0.9,18.0,0.8968716,0.8968716,C,5.119408,2.305538,8.366127,0.138533,0.65,0.65,post-1985,M,agriculture,AGRICULTURE,C_5,Not applied,216142.0,A,171.0,2.0,GBP,Metres,0.0,0.0,28.0,268.0,0.0,0.0,10.0,0.0,306.0,306.0,0.001414306,1.0,0.0
