Asset ID,Street,City,Post Code,Building Number,Building Name,Sub-Building,Region,Country,Latitude,Longitude,Building ID,Property Identifier,Year,Scenario,Flood Defences,Physical Risk Score,River Flood Score,River Flood Severity Value (maximum depth (m)),River Flood Severity Lower Bound,River Flood Severity Upper Bound,River Flood Reliability,Surface Flood Score,Surface Flood Severity Value (maximum depth (m)),Surface Flood Severity Lower Bound,Surface Flood Severity Upper Bound,Surface Flood Reliability,Coastal Flood Score,Coastal Flood Severity Value (maximum depth (m)),Coastal Flood Severity Lower Bound,Coastal Flood Severity Upper Bound,Coastal Flood Reliability,Wildfires Score,Wildfires Severity Value (No of fire weather days),Wildfires Severity Lower Bound,Wildfires Severity Upper Bound,Wildfires Likelihood,Wildfires Reliability,Wildfires Climate Reliability,Storms Score,Storms Severity Value (3s gust wind speed (km/h)),Storms Severity Lower Bound,Storms Severity Upper Bound,Storms Reliability,Storms Climate Reliability,Tropical Cyclones Score,Tropical Cyclones Severity Value (3s gust wind speed (km/h)),Tropical Cyclones Severity Lower Bound,Tropical Cyclones Severity Upper Bound,Tropical Cyclones Reliability,Tropical Cyclones Climate Reliability,Subsidence Score,"Subsidence Severity Value (indicator [0,2])",Subsidence Severity Lower Bound,Subsidence Severity Upper Bound,Subsidence Reliability,Subsidence Climate Reliability,Landslide Score,Landslide Likelihood,Landslide Reliability,Landslide Climate Reliability,Extreme Heat Days Score,Extreme Heat Days Severity Value (No of heatwave days),Extreme Heat Days Severity Lower Bound,Extreme Heat Days Severity Upper Bound,Extreme Heat Days Reliability,Extreme Heat Days Climate Reliability,Drought Score,Drought Severity Value (Magnitude),Drought Severity Lower Bound,Drought Severity Upper Bound,Drought Likelihood,Drought Reliability,Drought Climate Reliability,Age Category,Age Category Flag,Asset Use,Asset Type,Structure Category,Flood Elevation Structure,Building Replacement Cost,Gross Premise Area Flag,Gross Premise Area,Floor Count,Currency,Unit of Length,River Flood Loss,Surface Flood Loss,Coastal Flood Loss,Subsidence Loss,Landslide Loss,Wildfires Loss,Storms Loss,Tropical Cyclones Loss,Total Building Loss,Total Loss per Unit/Flat,Total Loss Percentage,Unit/Flat Volume,Basement
1,,,,,,,East Midlands (England),United Kingdom,52.7702909069,0.1894779759,23047437,100030889668,2030,ssp370,Undefended,A,A,0.0,0.0,0.0,,D,0.06,0.06,0.07,,E,0.5,0.46,0.54,,A,6.157126,0.0,20.449369,0.101657,0.75,0.9353354,E,157.5,150.300003,166.5,0.83,0.83,,,,,,,B,1.072303,1.0,1.15,0.75,0.9361328,A,3e-06,0.93,0.9353354,B,8.458333,1.0,19.0,0.8968716,0.8968716,C,5.738875,1.236523,10.638243,0.126024,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,1119385.0,A,824.6,2.0,GBP,Metres,0.0,224.0,3044.0,1586.0,0.0,0.0,53.0,0.0,4906.0,981.0,0.0043828455,5.0,0.0
10,Main Rd,Boston,PE22 9AZ,,,,East Midlands (England),United Kingdom,53.0673153,0.1993399,,,2030,ssp370,Undefended,E,A,0.0,0.0,0.0,,D,0.4,0.38,0.42,,F,2.72,2.68,2.77,,B,2.303144,0.0,6.738272,0.170588,0.75,0.9353354,E,159.300003,152.099991,167.399994,0.83,0.83,,,,,,,B,1.001498,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,A,1.483333,0.0,4.0,0.8968716,0.8968716,B,4.371594,1.261946,7.761623,0.112881,0.65,0.65,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,1974.0,138346.0,1356.0,0.0,819.0,60.0,0.0,142555.0,142555.0,0.1127815475,1.0,0.0
2,,,,,,,East Midlands (England),United Kingdom,52.8408284176,0.1697058665,23337180,200001147586,2030,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,1.3,1.25,1.36,,A,5.05276,0.0,16.378658,0.138198,0.75,0.9353354,E,157.5,150.300003,165.599991,0.83,0.83,,,,,,,A,0.971971,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,8.458333,1.0,19.0,0.8968716,0.8968716,C,5.738875,1.236523,10.638243,0.126024,0.65,0.65,post-1985,A,residential,SINGLE_RES,C_4,Not applied,297561.0,A,219.2,1.0,GBP,Metres,0.0,0.0,6138.0,283.0,0.0,0.0,146.0,0.0,6567.0,6567.0,0.0220685519,1.0,0.0
3,,,,,,,East Midlands (England),United Kingdom,52.8494594446,0.1414652949,917061,,2030,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,1.1,1.04,1.17,,A,4.956992,0.0,15.922341,0.090623,0.75,0.9353354,E,157.5,150.300003,165.599991,0.83,0.83,,,,,,,A,0.965014,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,8.308333,1.0,18.0,0.8968716,0.8968716,C,5.738875,1.236523,10.638243,0.126024,0.65,0.65,post-1985,M,residential,SINGLE_RES,C_4,Not applied,31765.0,A,23.4,1.0,GBP,Metres,0.0,0.0,452.0,29.0,0.0,0.0,16.0,0.0,497.0,497.0,0.0156315877,1.0,0.0
4,,,,,,,East Midlands (England),United Kingdom,52.8548146185,0.1709734372,22418623,,2030,ssp370,Undefended,D,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,1.72,1.67,1.76,,B,4.815779,0.0,15.529118,0.187452,0.75,0.9353354,E,157.5,150.300003,165.599991,0.83,0.83,,,,,,,A,0.968967,0.0,1.0,0.75,0.9361328,A,0.0,0.93,0.9353354,B,8.458333,1.0,19.0,0.8968716,0.8968716,B,4.519824,1.139493,8.631554,0.117808,0.65,0.65,post-1985,M,residential,SINGLE_RES,C_4,Not applied,35838.0,A,26.4,1.0,GBP,Metres,0.0,0.0,3237.0,34.0,0.0,48.0,18.0,0.0,3337.0,3337.0,0.0931171885,1.0,0.0
5,Durhams Road,Spalding,PE12 9NJ,5.0,,,East Midlands (England),United Kingdom,52.8607484,0.1335514,,,2030,ssp370,Undefended,A,A,0.0,0.0,0.0,,D,0.06,0.0,0.09,,F,1.7,1.64,1.77,,B,4.786444,0.0,15.275756,0.163036,0.75,0.9353354,E,157.5,150.300003,165.599991,0.83,0.83,,,,,,,A,0.96987,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,8.308333,1.0,18.0,0.8968716,0.8968716,B,4.519824,1.139493,8.631554,0.117808,0.65,0.65,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,316.0,24194.0,1190.0,0.0,606.0,60.0,0.0,26365.0,26365.0,0.0208587331,1.0,0.0
6,Marsh Rd,Holbeach Hurn,PE12 8JY,1.0,,,East Midlands (England),United Kingdom,52.8231572,0.0656962,4441069,100032161463,2030,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,C,0.0,0.0,0.0,,A,5.526462,0.0,17.676229,0.118228,0.75,0.9353354,E,154.800003,147.599991,162.899994,0.83,0.83,,,,,,,B,1.056227,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,8.308333,1.0,18.0,0.8968716,0.8968716,D,6.022196,1.881656,10.782843,0.123426,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,317381.0,A,233.8,2.0,GBP,Metres,0.0,0.0,108.0,423.0,0.0,0.0,15.0,0.0,546.0,546.0,0.0017208193,1.0,0.0
7,,,,,,,East Midlands (England),United Kingdom,52.8088689,0.1259753,23062655,100030887449,2030,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,D,0.46,0.4,0.53,,B,5.641552,0.0,18.330772,0.163153,0.75,0.9353354,E,154.800003,147.599991,162.899994,0.83,0.83,,,,,,,B,1.06187,1.0,1.15,0.75,0.9361328,A,6e-06,0.93,0.9353354,B,8.308333,1.0,18.0,0.8968716,0.8968716,C,5.738875,1.236523,10.638243,0.126024,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,268240.0,A,197.6,2.0,GBP,Metres,0.0,0.0,528.0,365.0,0.0,139.0,13.0,0.0,1045.0,1045.0,0.0038949441,1.0,0.0
8,Pinstock Lane,Spalding,PE12 0BT,,,,East Midlands (England),United Kingdom,52.7960426,0.0741809,22823054,100030891649,2030,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,D,0.07,0.0,0.13,,A,5.953074,0.0,19.243362,0.127764,0.75,0.9353354,E,154.800003,147.599991,162.899994,0.83,0.83,,,,,,,C,1.26969,1.15,1.3,0.75,0.9361328,A,3e-06,0.93,0.9353354,B,8.308333,1.0,18.0,0.8968716,0.8968716,D,6.022196,1.881656,10.782843,0.123426,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,221542.0,A,163.2,2.0,GBP,Metres,0.0,0.0,191.0,623.0,0.0,0.0,11.0,0.0,825.0,825.0,0.0037230061,1.0,0.0
9,Witham Town,Boston,PE21 9JY,6.0,,,East Midlands (England),United Kingdom,52.9835697,-0.0310725,13519302,200004467536,2030,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,B,0.0,0.0,0.0,,A,3.229853,0.0,8.96259,0.096628,0.75,0.9353354,E,155.699997,149.399994,163.800003,0.83,0.83,,,,,,,B,1.039098,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,8.291667,1.0,19.0,0.8968716,0.8968716,C,5.453083,1.16811,9.524189,0.113758,0.65,0.65,post-1985,M,agriculture,AGRICULTURE,C_5,Not applied,216142.0,A,171.0,2.0,GBP,Metres,0.0,0.0,29.0,269.0,0.0,0.0,10.0,0.0,308.0,308.0,0.0014245767,1.0,0.0
1,,,,,,,East Midlands (England),United Kingdom,52.7702909069,0.1894779759,23047437,100030889668,2035,ssp370,Undefended,A,A,0.0,0.0,0.0,,D,0.06,0.06,0.07,,E,0.53,0.48,0.58,,A,4.71105,0.0,12.807488,0.101657,0.75,0.9353354,E,157.5,149.399994,168.300003,0.83,0.83,,,,,,,B,1.073826,1.0,1.15,0.75,0.9361328,A,3e-06,0.93,0.9353354,B,9.591666,1.9,20.0,0.8968716,0.8968716,B,4.86764,1.041477,8.407763,0.135612,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,1119385.0,A,824.6,2.0,GBP,Metres,0.0,224.0,3352.0,1596.0,0.0,0.0,53.0,0.0,5224.0,1045.0,0.0046671321,5.0,0.0
10,Main Rd,Boston,PE22 9AZ,,,,East Midlands (England),United Kingdom,53.0673153,0.1993399,,,2035,ssp370,Undefended,E,A,0.0,0.0,0.0,,D,0.4,0.38,0.42,,F,2.75,2.7,2.8,,B,1.544312,0.0,4.738272,0.170588,0.75,0.9353354,E,159.300003,150.300003,169.199997,0.83,0.83,,,,,,,B,1.002942,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,A,1.95,0.0,6.0,0.8968716,0.8968716,A,3.871537,1.309621,6.404459,0.13923,0.65,0.65,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,1974.0,143251.0,1364.0,0.0,781.0,60.0,0.0,147429.0,147429.0,0.1166379415,1.0,0.0
2,,,,,,,East Midlands (England),United Kingdom,52.8408284176,0.1697058665,23337180,200001147586,2035,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,1.34,1.28,1.42,,A,3.786461,0.0,10.519862,0.138198,0.75,0.9353354,E,157.5,149.399994,168.300003,0.83,0.83,,,,,,,A,0.973484,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,9.591666,1.9,20.0,0.8968716,0.8968716,B,4.86764,1.041477,8.407763,0.135612,0.65,0.65,post-1985,A,residential,SINGLE_RES,C_4,Not applied,297561.0,A,219.2,1.0,GBP,Metres,0.0,0.0,6618.0,284.0,0.0,0.0,146.0,0.0,7048.0,7048.0,0.0236872083,1.0,0.0
3,,,,,,,East Midlands (England),United Kingdom,52.8494594446,0.1414652949,917061,,2035,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,1.14,1.07,1.23,,A,3.703511,0.0,10.350625,0.090623,0.75,0.9353354,E,157.5,149.399994,168.300003,0.83,0.83,,,,,,,A,0.966529,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,9.425,1.9,19.0,0.8968716,0.8968716,B,4.86764,1.041477,8.407763,0.135612,0.65,0.65,post-1985,M,residential,SINGLE_RES,C_4,Not applied,31765.0,A,23.4,1.0,GBP,Metres,0.0,0.0,478.0,29.0,0.0,0.0,16.0,0.0,523.0,523.0,0.0164500731,1.0,0.0
4,,,,,,,East Midlands (England),United Kingdom,52.8548146185,0.1709734372,22418623,,2035,ssp370,Undefended,D,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,1.74,1.69,1.8,,B,3.588479,0.0,10.014395,0.187452,0.75,0.9353354,E,157.5,149.399994,168.300003,0.83,0.83,,,,,,,A,0.970477,0.0,1.0,0.75,0.9361328,A,0.0,0.93,0.9353354,B,9.591666,1.9,20.0,0.8968716,0.8968716,B,4.252566,1.477624,7.131309,0.134195,0.65,0.65,post-1985,M,residential,SINGLE_RES,C_4,Not applied,35838.0,A,26.4,1.0,GBP,Metres,0.0,0.0,3314.0,34.0,0.0,47.0,18.0,0.0,3413.0,3413.0,0.0952210057,1.0,0.0
5,Durhams Road,Spalding,PE12 9NJ,5.0,,,East Midlands (England),United Kingdom,52.8607484,0.1335514,,,2035,ssp370,Undefended,A,A,0.0,0.0,0.0,,D,0.06,0.0,0.1,,F,1.74,1.66,1.83,,B,3.559863,0.0,9.988969,0.163036,0.75,0.9353354,E,157.5,149.399994,168.300003,0.83,0.83,,,,,,,A,0.971383,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,9.425,1.9,19.0,0.8968716,0.8968716,B,4.252566,1.477624,7.131309,0.134195,0.65,0.65,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,321.0,25284.0,1197.0,0.0,544.0,60.0,0.0,27405.0,27405.0,0.0216814761,1.0,0.0
6,Marsh Rd,Holbeach Hurn,PE12 8JY,1.0,,,East Midlands (England),United Kingdom,52.8231572,0.0656962,4441069,100032161463,2035,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,C,0.0,0.0,0.0,,A,4.173461,0.0,11.713754,0.118228,0.75,0.9353354,E,154.800003,146.699997,164.699997,0.83,0.83,,,,,,,B,1.057747,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,9.425,1.9,19.0,0.8968716,0.8968716,B,4.867996,1.024814,8.617786,0.136589,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,317381.0,A,233.8,2.0,GBP,Metres,0.0,0.0,123.0,425.0,0.0,0.0,15.0,0.0,563.0,563.0,0.0017737911,1.0,0.0
7,,,,,,,East Midlands (England),United Kingdom,52.8088689,0.1259753,23062655,100030887449,2035,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,D,0.5,0.43,0.58,,B,4.275301,0.0,11.862695,0.163153,0.75,0.9353354,E,154.800003,146.699997,164.699997,0.83,0.83,,,,,,,B,1.06339,1.0,1.15,0.75,0.9361328,A,6e-06,0.93,0.9353354,B,9.425,1.9,19.0,0.8968716,0.8968716,B,4.86764,1.041477,8.407763,0.135612,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,268240.0,A,197.6,2.0,GBP,Metres,0.0,0.0,551.0,367.0,0.0,124.0,13.0,0.0,1055.0,1055.0,0.00393388,1.0,0.0
8,Pinstock Lane,Spalding,PE12 0BT,,,,East Midlands (England),United Kingdom,52.7960426,0.0741809,22823054,100030891649,2035,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,D,0.1,0.04,0.16,,A,4.532268,0.0,12.661875,0.127764,0.75,0.9353354,E,154.800003,146.699997,164.699997,0.83,0.83,,,,,,,C,1.27121,1.15,1.3,0.75,0.9361328,A,3e-06,0.93,0.9353354,B,9.425,1.9,19.0,0.8968716,0.8968716,B,4.867996,1.024814,8.617786,0.136589,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,221542.0,A,163.2,2.0,GBP,Metres,0.0,0.0,211.0,626.0,0.0,0.0,11.0,0.0,848.0,848.0,0.0038279811,1.0,0.0
9,Witham Town,Boston,PE21 9JY,6.0,,,East Midlands (England),United Kingdom,52.9835697,-0.0310725,13519302,200004467536,2035,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,B,0.0,0.0,0.0,,A,2.21784,0.0,6.465257,0.096628,0.75,0.9353354,E,155.699997,147.599991,165.599991,0.83,0.83,,,,,,,B,1.04059,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,B,9.416667,1.0,19.1,0.8968716,0.8968716,B,4.351396,1.203222,7.406266,0.13991,0.65,0.65,post-1985,M,agriculture,AGRICULTURE,C_5,Not applied,216142.0,A,171.0,2.0,GBP,Metres,0.0,0.0,31.0,271.0,0.0,0.0,10.0,0.0,312.0,312.0,0.0014413159,1.0,0.0
1,,,,,,,East Midlands (England),United Kingdom,52.7702909069,0.1894779759,23047437,100030889668,2040,ssp370,Undefended,A,A,0.0,0.0,0.0,,D,0.07,0.06,0.07,,E,0.56,0.5,0.63,,A,5.406799,0.0,14.515744,0.101657,0.75,0.9353354,E,157.5,147.599991,169.199997,0.83,0.83,,,,,,,B,1.075283,1.0,1.15,0.75,0.9361328,A,3e-06,0.93,0.9353354,C,11.041667,2.0,22.0,0.8968716,0.8968716,B,4.8829,1.450103,8.638391,0.113593,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,1119385.0,A,824.6,2.0,GBP,Metres,0.0,256.0,3661.0,1604.0,0.0,0.0,53.0,0.0,5574.0,1115.0,0.0049792258,5.0,0.0
10,Main Rd,Boston,PE22 9AZ,,,,East Midlands (England),United Kingdom,53.0673153,0.1993399,,,2040,ssp370,Undefended,E,A,0.0,0.0,0.0,,D,0.41,0.39,0.43,,F,2.78,2.72,2.84,,B,2.092505,0.0,4.75952,0.170588,0.75,0.9353354,E,159.300003,149.399994,171.0,0.83,0.83,,,,,,,B,1.004396,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,A,2.4,0.0,6.1,0.8968716,0.8968716,B,4.599343,1.246546,8.434612,0.113051,0.65,0.65,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,2021.0,147224.0,1372.0,0.0,808.0,60.0,0.0,151486.0,151486.0,0.1198475363,1.0,0.0
2,,,,,,,East Midlands (England),United Kingdom,52.8408284176,0.1697058665,23337180,200001147586,2040,ssp370,Undefended,B,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,1.38,1.3,1.47,,A,4.474224,0.0,11.654171,0.138198,0.75,0.9353354,E,157.5,147.599991,169.199997,0.83,0.83,,,,,,,A,0.97496,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,C,11.041667,2.0,22.0,0.8968716,0.8968716,B,4.8829,1.450103,8.638391,0.113593,0.65,0.65,post-1985,A,residential,SINGLE_RES,C_4,Not applied,297561.0,A,219.2,1.0,GBP,Metres,0.0,0.0,7144.0,286.0,0.0,0.0,146.0,0.0,7576.0,7576.0,0.0254587089,1.0,0.0
3,,,,,,,East Midlands (England),United Kingdom,52.8494594446,0.1414652949,917061,,2040,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,1.19,1.1,1.29,,A,4.408487,0.0,11.354833,0.090623,0.75,0.9353354,E,157.5,147.599991,169.199997,0.83,0.83,,,,,,,A,0.968011,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,C,10.8,2.0,22.1,0.8968716,0.8968716,B,4.8829,1.450103,8.638391,0.113593,0.65,0.65,post-1985,M,residential,SINGLE_RES,C_4,Not applied,31765.0,A,23.4,1.0,GBP,Metres,0.0,0.0,503.0,30.0,0.0,0.0,16.0,0.0,549.0,549.0,0.0172797376,1.0,0.0
4,,,,,,,East Midlands (England),United Kingdom,52.8548146185,0.1709734372,22418623,,2040,ssp370,Undefended,D,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,1.77,1.71,1.84,,B,4.270759,0.0,11.050077,0.187452,0.75,0.9353354,E,157.5,147.599991,169.199997,0.83,0.83,,,,,,,A,0.971955,0.0,1.0,0.75,0.9361328,A,0.0,0.93,0.9353354,C,11.041667,2.0,22.0,0.8968716,0.8968716,B,4.306652,1.141638,8.005836,0.109402,0.65,0.65,post-1985,M,residential,SINGLE_RES,C_4,Not applied,35838.0,A,26.4,1.0,GBP,Metres,0.0,0.0,3423.0,34.0,0.0,47.0,18.0,0.0,3523.0,3523.0,0.0983005742,1.0,0.0
5,Durhams Road,Spalding,PE12 9NJ,5.0,,,East Midlands (England),United Kingdom,52.8607484,0.1335514,,,2040,ssp370,Undefended,A,A,0.0,0.0,0.0,,D,0.07,0.0,0.1,,F,1.79,1.69,1.89,,B,4.26738,0.0,10.900724,0.163036,0.75,0.9353354,E,157.5,147.599991,169.199997,0.83,0.83,,,,,,,A,0.972865,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,C,10.8,2.0,22.1,0.8968716,0.8968716,B,4.306652,1.141638,8.005836,0.109402,0.65,0.65,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,366.0,26805.0,1205.0,0.0,579.0,60.0,0.0,29015.0,29015.0,0.0229550673,1.0,0.0
6,Marsh Rd,Holbeach Hurn,PE12 8JY,1.0,,,East Midlands (England),United Kingdom,52.8231572,0.0656962,4441069,100032161463,2040,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,C,0.0,0.0,0.0,,A,4.938118,0.0,12.680557,0.118228,0.75,0.9353354,E,154.800003,144.899994,166.5,0.83,0.83,,,,,,,B,1.059226,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,C,10.8,2.0,22.1,0.8968716,0.8968716,C,5.119157,1.337184,9.216576,0.113707,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,317381.0,A,233.8,2.0,GBP,Metres,0.0,0.0,134.0,428.0,0.0,0.0,15.0,0.0,577.0,577.0,0.0018174531,1.0,0.0
7,,,,,,,East Midlands (England),United Kingdom,52.8088689,0.1259753,23062655,100030887449,2040,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,D,0.54,0.46,0.64,,B,5.002085,0.0,13.086867,0.163153,0.75,0.9353354,E,154.800003,144.899994,166.5,0.83,0.83,,,,,,,B,1.064862,1.0,1.15,0.75,0.9361328,A,6e-06,0.93,0.9353354,C,10.8,2.0,22.1,0.8968716,0.8968716,B,4.8829,1.450103,8.638391,0.113593,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,268240.0,A,197.6,2.0,GBP,Metres,0.0,0.0,574.0,370.0,0.0,132.0,13.0,0.0,1088.0,1088.0,0.0040578849,1.0,0.0
8,Pinstock Lane,Spalding,PE12 0BT,,,,East Midlands (England),United Kingdom,52.7960426,0.0741809,22823054,100030891649,2040,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,D,0.14,0.09,0.2,,A,5.297828,0.0,13.798778,0.127764,0.75,0.9353354,E,154.800003,144.899994,166.5,0.83,0.83,,,,,,,C,1.27268,1.15,1.3,0.75,0.9361328,A,3e-06,0.93,0.9353354,C,10.8,2.0,22.1,0.8968716,0.8968716,C,5.119157,1.337184,9.216576,0.113707,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,221542.0,A,163.2,2.0,GBP,Metres,0.0,0.0,233.0,629.0,0.0,0.0,11.0,0.0,873.0,873.0,0.0039412813,1.0,0.0
9,Witham Town,Boston,PE21 9JY,6.0,,,East Midlands (England),United Kingdom,52.9835697,-0.0310725,13519302,200004467536,2040,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,B,0.0,0.0,0.0,,A,2.971379,0.0,6.314454,0.096628,0.75,0.9353354,E,155.699997,145.800003,167.399994,0.83,0.83,,,,,,,B,1.042077,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,C,11.016666,2.0,23.0,0.8968716,0.8968716,B,4.733053,1.537576,8.563896,0.114776,0.65,0.65,post-1985,M,agriculture,AGRICULTURE,C_5,Not applied,216142.0,A,171.0,2.0,GBP,Metres,0.0,0.0,32.0,273.0,0.0,0.0,10.0,0.0,315.0,315.0,0.0014561522,1.0,0.0
1,,,,,,,East Midlands (England),United Kingdom,52.7702909069,0.1894779759,23047437,100030889668,2045,ssp370,Undefended,A,A,0.0,0.0,0.0,,D,0.07,0.06,0.07,,E,0.6,0.52,0.69,,A,6.933575,0.0,18.819002,0.101657,0.75,0.9353354,E,157.5,145.800003,171.899994,0.83,0.83,,,,,,,B,1.076913,1.0,1.15,0.75,0.9361328,A,3e-06,0.93,0.9353354,C,12.583333,3.0,27.200001,0.8968716,0.8968716,C,4.833893,1.41849,9.350992,0.164992,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,1119385.0,A,824.6,2.0,GBP,Metres,0.0,256.0,4093.0,1614.0,0.0,0.0,53.0,0.0,6015.0,1203.0,0.0053737961,5.0,0.0
10,Main Rd,Boston,PE22 9AZ,,,,East Midlands (England),United Kingdom,53.0673153,0.1993399,,,2045,ssp370,Undefended,E,A,0.0,0.0,0.0,,D,0.42,0.39,0.43,,F,2.82,2.74,2.89,,B,2.792076,0.0,6.176219,0.170588,0.75,0.9353354,E,159.300003,147.599991,172.799988,0.83,0.83,,,,,,,B,1.00596,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,A,3.066667,0.0,8.0,0.8968716,0.8968716,D,5.186023,1.4457,10.4583,0.172006,0.65,0.65,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,2064.0,153908.0,1381.0,0.0,844.0,60.0,0.0,158257.0,158257.0,0.1252043817,1.0,0.0
2,,,,,,,East Midlands (England),United Kingdom,52.8408284176,0.1697058665,23337180,200001147586,2045,ssp370,Undefended,B,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,1.43,1.34,1.54,,A,5.785248,0.0,15.305984,0.138198,0.75,0.9353354,E,157.5,145.800003,171.0,0.83,0.83,,,,,,,A,0.976572,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,C,12.583333,3.0,27.200001,0.8968716,0.8968716,C,4.833893,1.41849,9.350992,0.164992,0.65,0.65,post-1985,A,residential,SINGLE_RES,C_4,Not applied,297561.0,A,219.2,1.0,GBP,Metres,0.0,0.0,7797.0,288.0,0.0,0.0,146.0,0.0,8231.0,8231.0,0.027661497,1.0,0.0
3,,,,,,,East Midlands (England),United Kingdom,52.8494594446,0.1414652949,917061,,2045,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,1.25,1.14,1.38,,A,5.71312,0.0,15.132157,0.090623,0.75,0.9353354,E,157.5,145.800003,171.0,0.83,0.83,,,,,,,A,0.969624,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,C,12.433333,3.0,27.1,0.8968716,0.8968716,C,4.833893,1.41849,9.350992,0.164992,0.65,0.65,post-1985,M,residential,SINGLE_RES,C_4,Not applied,31765.0,A,23.4,1.0,GBP,Metres,0.0,0.0,527.0,30.0,0.0,0.0,16.0,0.0,573.0,573.0,0.0180289646,1.0,0.0
