Asset ID,Street,City,Post Code,Building Number,Building Name,Sub-Building,Region,Country,Latitude,Longitude,Building ID,Property Identifier,Year,Scenario,Flood Defences,Return Period,River Flood Score,River Flood Severity Value (maximum depth (m)),River Flood Severity Lower Bound,River Flood Severity Upper Bound,River Flood Reliability,Surface Flood Score,Surface Flood Severity Value (maximum depth (m)),Surface Flood Severity Lower Bound,Surface Flood Severity Upper Bound,Surface Flood Reliability,Coastal Flood Score,Coastal Flood Severity Value (maximum depth (m)),Coastal Flood Severity Lower Bound,Coastal Flood Severity Upper Bound,Coastal Flood Reliability,Storms Score,Storms Severity Value (3s gust wind speed (km/h)),Storms Severity Lower Bound,Storms Severity Upper Bound,Storms Reliability,Storms Climate Reliability,Tropical Cyclones Score,Tropical Cyclones Severity Value (3s gust wind speed (km/h)),Tropical Cyclones Severity Lower Bound,Tropical Cyclones Severity Upper Bound,Tropical Cyclones Reliability,Tropical Cyclones Climate Reliability,Age Category,Age Category Flag,Asset Use,Asset Type,Structure Category,Flood Elevation Structure,Building Replacement Cost,Gross Premise Area Flag,Gross Premise Area,Floor Count,Currency,Unit of Length,River Flood RP Loss,Surface Flood RP Loss,Coastal Flood RP Loss,Storms RP Loss,Tropical Cyclones RP Loss,Unit/Flat Volume,Basement
2,,,,,,,East Midlands (England),United Kingdom,52.8408284176,0.1697058665,23337180,200001147586,2020,ssp370,Undefended,1 in 50,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,0.79,0.77,0.82,,E,149.399994,143.099991,155.699997,0.83,0.83,,,,,,,post-1985,A,residential,SINGLE_RES,C_4,Not applied,297561.0,A,219.2,1.0,GBP,Metres,0.0,0.0,99375.0,1565.0,0.0,1.0,0.0
2,,,,,,,East Midlands (England),United Kingdom,52.8408284176,0.1697058665,23337180,200001147586,2020,ssp370,Undefended,1 in 100,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,1.23,1.2,1.26,,E,157.5,151.199997,163.800003,0.83,0.83,,,,,,,post-1985,A,residential,SINGLE_RES,C_4,Not applied,297561.0,A,219.2,1.0,GBP,Metres,0.0,0.0,135896.0,1565.0,0.0,1.0,0.0
2,,,,,,,East Midlands (England),United Kingdom,52.8408284176,0.1697058665,23337180,200001147586,2020,ssp370,Undefended,1 in 200,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,1.78,1.74,1.81,,E,164.699997,159.300003,171.899994,0.83,0.83,,,,,,,post-1985,A,residential,SINGLE_RES,C_4,Not applied,297561.0,A,219.2,1.0,GBP,Metres,0.0,0.0,169370.0,1565.0,0.0,1.0,0.0
2,,,,,,,East Midlands (England),United Kingdom,52.8408284176,0.1697058665,23337180,200001147586,2020,ssp370,Undefended,1 in 500,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,2.67,2.64,2.71,,E,174.599991,168.300003,181.799988,0.83,0.83,,,,,,,post-1985,A,residential,SINGLE_RES,C_4,Not applied,297561.0,A,219.2,1.0,GBP,Metres,0.0,0.0,207502.0,1565.0,0.0,1.0,0.0
3,,,,,,,East Midlands (England),United Kingdom,52.8494594446,0.1414652949,917061,,2020,ssp370,Undefended,1 in 10,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,0.0,0.0,0.0,,E,128.699997,123.299995,134.099991,0.83,0.83,,,,,,,post-1985,M,residential,SINGLE_RES,C_4,Not applied,31765.0,A,23.4,1.0,GBP,Metres,0.0,0.0,0.0,49.0,0.0,1.0,0.0
3,,,,,,,East Midlands (England),United Kingdom,52.8494594446,0.1414652949,917061,,2020,ssp370,Undefended,1 in 50,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,0.47,0.43,0.5,,E,149.399994,143.099991,155.699997,0.83,0.83,,,,,,,post-1985,M,residential,SINGLE_RES,C_4,Not applied,31765.0,A,23.4,1.0,GBP,Metres,0.0,0.0,6966.0,167.0,0.0,1.0,0.0
3,,,,,,,East Midlands (England),United Kingdom,52.8494594446,0.1414652949,917061,,2020,ssp370,Undefended,1 in 100,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,1.01,0.98,1.05,,E,157.5,151.199997,163.800003,0.83,0.83,,,,,,,post-1985,M,residential,SINGLE_RES,C_4,Not applied,31765.0,A,23.4,1.0,GBP,Metres,0.0,0.0,12698.0,167.0,0.0,1.0,0.0
3,,,,,,,East Midlands (England),United Kingdom,52.8494594446,0.1414652949,917061,,2020,ssp370,Undefended,1 in 200,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,1.65,1.62,1.69,,E,164.699997,159.300003,171.899994,0.83,0.83,,,,,,,post-1985,M,residential,SINGLE_RES,C_4,Not applied,31765.0,A,23.4,1.0,GBP,Metres,0.0,0.0,17337.0,167.0,0.0,1.0,0.0
3,,,,,,,East Midlands (England),United Kingdom,52.8494594446,0.1414652949,917061,,2020,ssp370,Undefended,1 in 500,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,2.57,2.53,2.61,,E,174.599991,168.300003,181.799988,0.83,0.83,,,,,,,post-1985,M,residential,SINGLE_RES,C_4,Not applied,31765.0,A,23.4,1.0,GBP,Metres,0.0,0.0,21753.0,167.0,0.0,1.0,0.0
4,,,,,,,East Midlands (England),United Kingdom,52.8548146185,0.1709734372,22418623,,2020,ssp370,Undefended,1 in 10,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,0.52,0.49,0.54,,E,128.699997,123.299995,134.099991,0.83,0.83,,,,,,,post-1985,M,residential,SINGLE_RES,C_4,Not applied,35838.0,A,26.4,1.0,GBP,Metres,0.0,0.0,8560.0,56.0,0.0,1.0,0.0
